id,name,abbreviation,location,conference
202,Tulsa Golden Hurricane,TLSA,Tulsa,
5,UAB Blazers,UAB,UAB,
399,UAlbany Great Danes,ALB,UAlbany,
302,UC Davis Aggies,UCD,UC Davis,
300,UC Irvine Anteaters,UCI,UC Irvine,
27,UC Riverside Highlanders,UCR,UC Riverside,
28,UC San Diego Tritons,UCSD,UC San Diego,
2540,UC Santa Barbara Gauchos,UCSB,UC Santa Barbara,
2116,UCF Knights,UCF,UCF,
26,UCLA Bruins,UCLA,UCLA,
41,UConn Huskies,CONN,UConn,
82,UIC Flames,UIC,UIC,
2433,UL Monroe Warhawks,ULM,UL Monroe,
2378,UMBC Retrievers,UMBC,UMBC,
2349,UMass Lowell River Hawks,UML,UMass Lowell,
2427,UNC Asheville Bulldogs,UNCA,UNC Asheville,
2430,UNC Greensboro Spartans,UNCG,UNC Greensboro,
350,UNC Wilmington Seahawks,UNCW,UNC Wilmington,
2439,UNLV Rebels,UNLV,UNLV,
30,USC Trojans,USC,USC,
250,UT Arlington Mavericks,UTA,UT Arlington,
2630,UT Martin Skyhawks,UTM,UT Martin,
292,UT Rio Grande Valley Vaqueros,RGV,UT Rio Grande Valley,
2638,UTEP Miners,UTEP,UTEP,
2636,UTSA Roadrunners,UTSA,UTSA,
328,Utah State Aggies,USU,Utah State,
3101,Utah Tech Trailblazers,UTU,Utah Tech,
254,Utah Utes,UTAH,Utah,
3084,Utah Valley Wolverines,UVU,Utah Valley,
2670,VCU Rams,VCU,VCU,
2678,VMI Keydets,VMI,VMI,
2674,Valparaiso Beacons,VAL,Valparaiso,
238,Vanderbilt Commodores,VAN,Vanderbilt,
261,Vermont Catamounts,UVM,Vermont,
222,Villanova Wildcats,VILL,Villanova,
258,Virginia Cavaliers,UVA,Virginia,
259,Virginia Tech Hokies,VT,Virginia Tech,
2681,Wagner Seahawks,WAG,Wagner,
154,Wake Forest Demon Deacons,WAKE,Wake Forest,
264,Washington Huskies,WASH,Washington,
265,Washington State Cougars,WSU,Washington State,
2692,Weber State Wildcats,WEB,Weber State,
2698,West Georgia Wolves,WGA,West Georgia,
277,West Virginia Mountaineers,WVU,West Virginia,
